Name,Blurb,Longitude,Latitude,Top Ten -- star emoji,Neighborhood,Tour,Website,"Cuisine: (Filipino, American, Polish, Chinese, Italian, Belgian, French, Mexican)","Tags: (pie, cookies, cake, bread, pastry/classics revisited/GF)",Try:,Hours,Pictures,,,,,Menu,Awards
Del Sur Bakery,"Take-out only Filipino-influenced, 2025 bakery. Show up early or expect a long line.",-87.678861,41.966306,,Ravenswood,,,,Pastries,"Turon danish, longanisa croissant, adobo brownies, ube oatmeal cream pies",,,,,,,,
Loba,Minimalist coffee shop/small-batch bakery with unique flavor combinations and a serious love of pastries. Show up early on the weekend.,-87.674198,41.947198,,Lake View,,,,Pastries,Unique and rotating menu,,,,,,,,
,,,,,,,,,,,,,,,,,,
Jennivee's,,-87.648853,41.93535,,Lake View,,,,,Ube cake,,,,,,,,
Spinning J,,-87.697157,41.899447,,Ukrainian Village,Wicker Park/West,,,,Pies,,,,,,,,
La Fournette,French bakery owned by a master baker,-87.634381,41.910527,,Old Town,,,,,,,,,,,,,
Henrickx Belgian Bread Crafter,Belgian pastries and croissants,-87.625247,41.900226,,Gold Coast,,,,,,,,,,,,,
Fat Peach,Café culture in Mexico City/Oaxaca,-87.657792,41.841448,,Bridgeport,,,,,Strawberry milk croissants,,,,,,,,
,,,,,,,,,,,,,,,,,,
Dan the Baker/Bad Butter,Chef baker who sells out of Emily's Hotel,-87.669937,41.915896,,Wicker Park,Wicker Park/West,,,,,,,,,,,,
Lou Mitchell's,Classic diner with pie and pastries,-87.642022,41.87783,,Loop,,,,,,,,,,,,,
Firecakes Donuts,Top Chicago donuts,-87.630265,41.890181,,River North,,,,,Donuts,,,,,,,,
The Original Pancake House,We know it,-87.704377,42.070491,,Wilmette,,,,,Dutch baby,,,,,,,,
Margie's Candies,50's-style diner with ice cream sundaes,-87.687248,41.917159,,Bucktown,,,,,Ice Cream Sundaes/Hot fudge,,,,,,,,
,,,,,,,,,,,,,,,,,,
Lost Larson,Mills their own flour ,,,,Andersonville,,,,"Bread, Pastries",Afternoon bun,,,,,,,,
